Name,Height (inches),Soccer Experience,Guardian Name(s)
Bill Bon,43,YES,Sara and Jenny Bon
Jill Tanner,36,YES,Clara Tanner
Arnold Willis,43,NO,Claire Willis
Ben Finkelstein,44,NO,Aaron and Jill Finkelstein
Phillip Helm,44,YES,Thomas Helm and Eva Jones
Chloe Alaska,47,NO,David and Jamie Alaska
Joe Kavalier,39,NO,Sam and Elaine Kavalier
Sammy Adams,45,NO,Jeff Adams
Kimmy Stein,41,NO,Bill and Hillary Stein
Matt Gill,40,NO,Charles and Sylvia Gill
Les Clay,42,YES,Wynonna Brown
Herschel Krustofski,45,YES,Hyman and Rachel Krustofski
Karl Saygan,42,YES,Heather Bledsoe
Eva Gordon,45,NO,Wendy and Mike Gordon
Suzane Greenberg,44,YES,Henrietta Dumas
Diego Soto,41,YES,Robin and Sarika Soto
Joe Smith,42,YES,Jim and Jan Smith
Sal Dali,41,NO,Gala Dali
